Player,Team,ID,Created Date,Updated Date,Owner,Data Sheets,Data Seets Landing,HTML,urlPlayerHeadshot
Naji Marshall,Dallas Mavericks,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Naji%20Marshall1630230163.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630230.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Daniel Gafford,Dallas Mavericks,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Daniel%20Gafford1629655162.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629655.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
P.J. Washington,Dallas Mavericks,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/P.J.%20Washington1629023162.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629023.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Spencer Dinwiddie,Dallas Mavericks,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Spencer%20Dinwiddie203915203.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203915.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Klay Thompson,Dallas Mavericks,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Klay%20Thompson202691202.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202691.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Luka Dončić,Dallas Mavericks,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Luka%20Dončić1629029162.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629029.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Christian Braun,Denver Nuggets,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Christian%20Braun1631128163.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631128.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Michael Porter Jr.,Denver Nuggets,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Michael%20Porter Jr.1629008162.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629008.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Russell Westbrook,Denver Nuggets,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Russell%20Westbrook201566201.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201566.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Nikola Jokić,Denver Nuggets,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Nikola%20Jokić203999203.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203999.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Jamal Murray,Denver Nuggets,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Jamal%20Murray1627750162.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627750.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Aaron Gordon,Denver Nuggets,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Aaron%20Gordon203932203.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Jalen Duren,Detroit Pistons,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Jalen%20Duren1631105163.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631105.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Cade Cunningham,Detroit Pistons,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Cade%20Cunningham1630595163.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630595.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Malik Beasley,Detroit Pistons,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Malik%20Beasley1627736162.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Tim Hardaway Jr.,Detroit Pistons,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Tim%20Hardaway Jr.203501203.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203501.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
Tobias Harris,Detroit Pistons,,,,,,,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""1000""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""1800""}},""url"":""https://raw.githack.com/backironanalytics/my-site-test/main/sheets/Tobias%20Harris202699202.html"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""hlkd5116"",""nodes"":[],""paragraphData"":{}},{""type"":""HTML"",""id"":""cps99115"",""nodes"":[],""htmlData"":{""containerData"":{""textWrap"":true,""height"":{""custom"":""500""},""spoiler"":{},""alignment"":""CENTER"",""width"":{""custom"":""500""}},""url"":""https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202699.png"",""source"":""HTML""}},{""type"":""PARAGRAPH"",""id"":""zuhhp117"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""857a69b7-4e6b-4821-973a-064010acd74b""},""documentStyle"":{}}"
